belt,technique
White,None
Yellow,None
Orange,None
Sr Orange,None
Green,None
Sr Green,None
Purple,None
Sr Purple,None
Blue,Any strike (practice)
Sr Blue,Any kick (practice)
Brown,#1 Side Kick
Brown,Hammer Fist
Sr Brown,#2 Front Kick
Sr Brown,Elbow Strike
Red,#3 Side Kick
Red,Palm Heel Strike
Sr Red,#2 Round Kick
Sr Red,Hammer Fist
First Deg Prob,#1 Side Kick
First Deg Prob,#2 Front Kick
First Deg Rec,#3 Side Kick
First Deg Rec,#2 Round Kick
First Deg Dec,#2 Front Kick
First Deg Dec,Spin Side Kick
First Deg Dec,Elbow Strike
First Deg Sr,#3 Side Kick
First Deg Sr,Jump Round Kick
First Deg Sr,Palm Heel Strike
