belt,form,strike_kick_block,stance,tkda_video,mta_video
White,Ki-Bon,N/A,Ready Stance A,https://youtu.be/K6U0z4oUXRg?si=gYr7xYEJS1JgOpFB,media/ki_bon_white.mp4
White,Ki-Bon,Left Low Block,Left Front Stance,https://youtu.be/K6U0z4oUXRg?si=gYr7xYEJS1JgOpFB,media/ki_bon_white.mp4
White,Ki-Bon,Right Punch Middle,Right Front Stance,https://youtu.be/K6U0z4oUXRg?si=gYr7xYEJS1JgOpFB,media/ki_bon_white.mp4
White,Ki-Bon,Right Low Block,Right Front Stance,https://youtu.be/K6U0z4oUXRg?si=gYr7xYEJS1JgOpFB,media/ki_bon_white.mp4
White,Ki-Bon,Left Punch Middle,Left Front Stance,https://youtu.be/K6U0z4oUXRg?si=gYr7xYEJS1JgOpFB,media/ki_bon_white.mp4
White,Ki-Bon,Left Inner Forearm Block,Left Back Stance,https://youtu.be/K6U0z4oUXRg?si=gYr7xYEJS1JgOpFB,media/ki_bon_white.mp4
White,Ki-Bon,Right Punch Middle,Right Front Stance,https://youtu.be/K6U0z4oUXRg?si=gYr7xYEJS1JgOpFB,media/ki_bon_white.mp4
White,Ki-Bon,Left High Block,Left Front Stance,https://youtu.be/K6U0z4oUXRg?si=gYr7xYEJS1JgOpFB,media/ki_bon_white.mp4
White,Ki-Bon,Right Reverse Punch (Ki Hap),Left Front Stance,https://youtu.be/K6U0z4oUXRg?si=gYr7xYEJS1JgOpFB,media/ki_bon_white.mp4
White,Ki-Bon,Right Inner Forearm Block,Right Back Stance,https://youtu.be/K6U0z4oUXRg?si=gYr7xYEJS1JgOpFB,media/ki_bon_white.mp4
White,Ki-Bon,Left Punch Middle,Left Front Stance,https://youtu.be/K6U0z4oUXRg?si=gYr7xYEJS1JgOpFB,media/ki_bon_white.mp4
White,Ki-Bon,Right High Block,Right Front Stance,https://youtu.be/K6U0z4oUXRg?si=gYr7xYEJS1JgOpFB,media/ki_bon_white.mp4
White,Ki-Bon,Left Reverse Punch (Ki Hap),Right Front Stance,https://youtu.be/K6U0z4oUXRg?si=gYr7xYEJS1JgOpFB,media/ki_bon_white.mp4
White,Ki-Bon,Left Knife Hand Strike Middle,Sitting Stance,https://youtu.be/K6U0z4oUXRg?si=gYr7xYEJS1JgOpFB,media/ki_bon_white.mp4
White,Ki-Bon,Right Knife Hand Strike Middle,Sitting Stance,https://youtu.be/K6U0z4oUXRg?si=gYr7xYEJS1JgOpFB,media/ki_bon_white.mp4
Yellow,Dan-Gun,N/A,Ready Stance A,https://youtu.be/3t_L3zKbulg?si=FxcfjPwzlicDYMZM,media/dan_gun_yellow.mp4
Yellow,Dan-Gun,Left Double Knife Hand Block,Left Back Stance,https://youtu.be/3t_L3zKbulg?si=FxcfjPwzlicDYMZM,media/dan_gun_yellow.mp4
Yellow,Dan-Gun,Right Punch High,Right Front Stance,https://youtu.be/3t_L3zKbulg?si=FxcfjPwzlicDYMZM,media/dan_gun_yellow.mp4
Yellow,Dan-Gun,Right Double Knife Hand Block,Right Back Stance,https://youtu.be/3t_L3zKbulg?si=FxcfjPwzlicDYMZM,media/dan_gun_yellow.mp4
Yellow,Dan-Gun,Left Punch High,Left Front Stance,https://youtu.be/3t_L3zKbulg?si=FxcfjPwzlicDYMZM,media/dan_gun_yellow.mp4
Yellow,Dan-Gun,Left Low Block,Left Front Stance,https://youtu.be/3t_L3zKbulg?si=FxcfjPwzlicDYMZM,media/dan_gun_yellow.mp4
Yellow,Dan-Gun,Right Punch High,Right Front Stance,https://youtu.be/3t_L3zKbulg?si=FxcfjPwzlicDYMZM,media/dan_gun_yellow.mp4
Yellow,Dan-Gun,Left Punch High,Left Front Stance,https://youtu.be/3t_L3zKbulg?si=FxcfjPwzlicDYMZM,media/dan_gun_yellow.mp4
Yellow,Dan-Gun,Right Punch High (Ki Hap),Right Front Stance,https://youtu.be/3t_L3zKbulg?si=FxcfjPwzlicDYMZM,media/dan_gun_yellow.mp4
Yellow,Dan-Gun,Left Square Block,Left Back Stance,https://youtu.be/3t_L3zKbulg?si=FxcfjPwzlicDYMZM,media/dan_gun_yellow.mp4
Yellow,Dan-Gun,Right Punch High,Right Front Stance,https://youtu.be/3t_L3zKbulg?si=FxcfjPwzlicDYMZM,media/dan_gun_yellow.mp4
Yellow,Dan-Gun,Right Square Block,Right Back Stance,https://youtu.be/3t_L3zKbulg?si=FxcfjPwzlicDYMZM,media/dan_gun_yellow.mp4
Yellow,Dan-Gun,Left Punch High,Left Front Stance,https://youtu.be/3t_L3zKbulg?si=FxcfjPwzlicDYMZM,media/dan_gun_yellow.mp4
Yellow,Dan-Gun,Left Low Block,Left Front Stance,https://youtu.be/3t_L3zKbulg?si=FxcfjPwzlicDYMZM,media/dan_gun_yellow.mp4
Yellow,Dan-Gun,Left High Block,No Change,https://youtu.be/3t_L3zKbulg?si=FxcfjPwzlicDYMZM,media/dan_gun_yellow.mp4
Yellow,Dan-Gun,Right High Block,Right Front Stance,https://youtu.be/3t_L3zKbulg?si=FxcfjPwzlicDYMZM,media/dan_gun_yellow.mp4
Yellow,Dan-Gun,Left High Block,Left Front Stance,https://youtu.be/3t_L3zKbulg?si=FxcfjPwzlicDYMZM,media/dan_gun_yellow.mp4
Yellow,Dan-Gun,Right High Block (Ki Hap),Right Front Stance,https://youtu.be/3t_L3zKbulg?si=FxcfjPwzlicDYMZM,media/dan_gun_yellow.mp4
Yellow,Dan-Gun,Left Knife Hand Strike High,Left Back Stance,https://youtu.be/3t_L3zKbulg?si=FxcfjPwzlicDYMZM,media/dan_gun_yellow.mp4
Yellow,Dan-Gun,Right Punch High,Right Front Stance,https://youtu.be/3t_L3zKbulg?si=FxcfjPwzlicDYMZM,media/dan_gun_yellow.mp4
Yellow,Dan-Gun,Right Knife Hand Strike High,Right Back Stance,https://youtu.be/3t_L3zKbulg?si=FxcfjPwzlicDYMZM,media/dan_gun_yellow.mp4
Yellow,Dan-Gun,Left Punch High,Left Front Stance,https://youtu.be/3t_L3zKbulg?si=FxcfjPwzlicDYMZM,media/dan_gun_yellow.mp4
Orange,Do-San,N/A,Ready Stance A,https://youtu.be/mDTg__rSn9Q?si=mGxkSiHEhsb-saz7,media/do_san_orange.mp4
Orange,Do-San,Left Outer Forearm Block,Left Front Stance,https://youtu.be/mDTg__rSn9Q?si=mGxkSiHEhsb-saz8,media/do_san_orange.mp4
Orange,Do-San,Right Reverse Punch Middle,No Change,https://youtu.be/mDTg__rSn9Q?si=mGxkSiHEhsb-saz9,media/do_san_orange.mp4
Orange,Do-San,Right Outer Forearm Block,Right Front Stance,https://youtu.be/mDTg__rSn9Q?si=mGxkSiHEhsb-saz10,media/do_san_orange.mp4
Orange,Do-San,Left Reverse Punch,No Change,https://youtu.be/mDTg__rSn9Q?si=mGxkSiHEhsb-saz11,media/do_san_orange.mp4
Orange,Do-San,Left Double Knife Hand Block,Left Back Stance,https://youtu.be/mDTg__rSn9Q?si=mGxkSiHEhsb-saz12,media/do_san_orange.mp4
Orange,Do-San,Right Spear Hand Middle (Ki Hap),Right Front Stance,https://youtu.be/mDTg__rSn9Q?si=mGxkSiHEhsb-saz13,media/do_san_orange.mp4
Orange,Do-San,Left Back Fitst,Left Front Stance,https://youtu.be/mDTg__rSn9Q?si=mGxkSiHEhsb-saz14,media/do_san_orange.mp4
Orange,Do-San,Right Back Fist,Right Front Stance,https://youtu.be/mDTg__rSn9Q?si=mGxkSiHEhsb-saz15,media/do_san_orange.mp4
Orange,Do-San,Left Outer Forearm Block,Left Front Stance,https://youtu.be/mDTg__rSn9Q?si=mGxkSiHEhsb-saz16,media/do_san_orange.mp4
Orange,Do-San,Right Reverse Punch,No Change,https://youtu.be/mDTg__rSn9Q?si=mGxkSiHEhsb-saz17,media/do_san_orange.mp4
Orange,Do-San,Right Outer Forearm Block,Right Front Stance,https://youtu.be/mDTg__rSn9Q?si=mGxkSiHEhsb-saz18,media/do_san_orange.mp4
Orange,Do-San,Left Reverse Punch,No Change,https://youtu.be/mDTg__rSn9Q?si=mGxkSiHEhsb-saz19,media/do_san_orange.mp4
